"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter Application\book_store\lib\DemoData\product_demo_data.dart", "Dart", 1006, 8, 5, 1019
"d:\Flutter Application\book_store\lib\Home\bloc\home_bloc.dart", "Dart", 38, 28, 11, 77
"d:\Flutter Application\book_store\lib\Home\bloc\home_event.dart", "Dart", 7, 0, 4, 11
"d:\Flutter Application\book_store\lib\Home\bloc\home_state.dart", "Dart", 15, 0, 6, 21
"d:\Flutter Application\book_store\lib\Home\ui\category.dart", "Dart", 55, 0, 3, 58
"d:\Flutter Application\book_store\lib\Home\ui\home_page.dart", "Dart", 138, 0, 5, 143
"d:\Flutter Application\book_store\lib\Home\ui\home_page_loading.dart", "Dart", 77, 0, 3, 80
"d:\Flutter Application\book_store\lib\Login_Register\auth_page.dart", "Dart", 109, 0, 7, 116
"d:\Flutter Application\book_store\lib\Login_Register\default_login.dart", "Dart", 326, 4, 9, 339
"d:\Flutter Application\book_store\lib\Login_Register\default_register.dart", "Dart", 368, 4, 13, 385
"d:\Flutter Application\book_store\lib\Login_Register\forgot_page.dart", "Dart", 175, 0, 6, 181
"d:\Flutter Application\book_store\lib\Notification\tin_nhan_page.dart", "Dart", 10, 0, 3, 13
"d:\Flutter Application\book_store\lib\OrderBill\bloc\bill_bloc.dart", "Dart", 31, 0, 9, 40
"d:\Flutter Application\book_store\lib\OrderBill\bloc\bill_event.dart", "Dart", 10, 0, 5, 15
"d:\Flutter Application\book_store\lib\OrderBill\bloc\bill_state.dart", "Dart", 11, 0, 6, 17
"d:\Flutter Application\book_store\lib\OrderBill\ui\order_bill_loading.dart", "Dart", 292, 0, 3, 295
"d:\Flutter Application\book_store\lib\OrderBill\ui\order_bill_page.dart", "Dart", 281, 0, 3, 284
"d:\Flutter Application\book_store\lib\ProductDetail\bloc\product_bloc.dart", "Dart", 28, 0, 6, 34
"d:\Flutter Application\book_store\lib\ProductDetail\bloc\product_event.dart", "Dart", 11, 0, 6, 17
"d:\Flutter Application\book_store\lib\ProductDetail\bloc\product_state.dart", "Dart", 8, 0, 5, 13
"d:\Flutter Application\book_store\lib\ProductDetail\ui\product_detail_page.dart", "Dart", 436, 0, 4, 440
"d:\Flutter Application\book_store\lib\ProductDetail\ui\product_images.dart", "Dart", 77, 0, 5, 82
"d:\Flutter Application\book_store\lib\ProductDetail\ui\star_point.dart", "Dart", 38, 0, 3, 41
"d:\Flutter Application\book_store\lib\Profile\bloc\user_bloc.dart", "Dart", 79, 3, 14, 96
"d:\Flutter Application\book_store\lib\Profile\bloc\user_event.dart", "Dart", 28, 0, 8, 36
"d:\Flutter Application\book_store\lib\Profile\bloc\user_state.dart", "Dart", 27, 0, 9, 36
"d:\Flutter Application\book_store\lib\Profile\ui\change_info_page.dart", "Dart", 265, 0, 3, 268
"d:\Flutter Application\book_store\lib\Profile\ui\profile_page.dart", "Dart", 314, 0, 5, 319
"d:\Flutter Application\book_store\lib\Profile\ui\proflie_loading_page.dart", "Dart", 243, 0, 3, 246
"d:\Flutter Application\book_store\lib\SearchPage\bloc\search_bloc.dart", "Dart", 96, 0, 19, 115
"d:\Flutter Application\book_store\lib\SearchPage\bloc\search_event.dart", "Dart", 21, 0, 11, 32
"d:\Flutter Application\book_store\lib\SearchPage\bloc\search_state.dart", "Dart", 17, 0, 9, 26
"d:\Flutter Application\book_store\lib\SearchPage\ui\search_loading_page.dart", "Dart", 54, 0, 3, 57
"d:\Flutter Application\book_store\lib\SearchPage\ui\search_page.dart", "Dart", 107, 0, 5, 112
"d:\Flutter Application\book_store\lib\SearchPage\ui\search_result_page.dart", "Dart", 65, 0, 4, 69
"d:\Flutter Application\book_store\lib\SearchPage\ui\search_suggestion_item.dart", "Dart", 32, 0, 3, 35
"d:\Flutter Application\book_store\lib\Transaction\AwaitPickup\bloc\await_pickup_bloc.dart", "Dart", 104, 0, 20, 124
"d:\Flutter Application\book_store\lib\Transaction\AwaitPickup\bloc\await_pickup_event.dart", "Dart", 16, 0, 9, 25
"d:\Flutter Application\book_store\lib\Transaction\AwaitPickup\bloc\await_pickup_state.dart", "Dart", 14, 0, 8, 22
"d:\Flutter Application\book_store\lib\Transaction\AwaitPickup\ui\await_pickup_page.dart", "Dart", 65, 0, 3, 68
"d:\Flutter Application\book_store\lib\Transaction\AwaitPickup\ui\await_transaction_item.dart", "Dart", 43, 0, 4, 47
"d:\Flutter Application\book_store\lib\Transaction\Cancelled\bloc\cancelled_bloc.dart", "Dart", 88, 0, 17, 105
"d:\Flutter Application\book_store\lib\Transaction\Cancelled\bloc\cancelled_event.dart", "Dart", 12, 0, 7, 19
"d:\Flutter Application\book_store\lib\Transaction\Cancelled\bloc\cancelled_state.dart", "Dart", 14, 0, 8, 22
"d:\Flutter Application\book_store\lib\Transaction\Cancelled\ui\cancelled_item.dart", "Dart", 60, 0, 4, 64
"d:\Flutter Application\book_store\lib\Transaction\Cancelled\ui\cancelled_transaction_page.dart", "Dart", 60, 0, 3, 63
"d:\Flutter Application\book_store\lib\Transaction\Delivered\bloc\delivered_bloc.dart", "Dart", 88, 0, 17, 105
"d:\Flutter Application\book_store\lib\Transaction\Delivered\bloc\delivered_event.dart", "Dart", 12, 0, 7, 19
"d:\Flutter Application\book_store\lib\Transaction\Delivered\bloc\delivered_state.dart", "Dart", 14, 0, 8, 22
"d:\Flutter Application\book_store\lib\Transaction\Delivered\ui\delivered_item.dart", "Dart", 69, 0, 4, 73
